Date,Description,Amount,Category
28/3/2025 20:53,Boba Tea (L),-6.5,Drinks
29/3/2025 16:29,Bus Card Top-Up,-20.0,Transport
31/3/2025 12:08,Taxi Ride,-18.0,Transport
1/4/2025 17:11,Book Purchase,-13.5,Education
2/4/2025 19:27,Coffee (M),-4.5,Drinks
3/4/2025 13:22,Taxi Ride,-18.0,Transport
4/4/2025 20:25,Bus Card Top-Up,-20.0,Transport
4/6/2025 13:00,Strawberry Yogurt (S),-7.5,Drinks
5/4/2025 15:47,Client Invoice,200.0,Income
6/4/2025 14:07,Spotify Subscription,-9.99,Entertainment
7/4/2025 14:34,Book Purchase,-13.5,Education
8/4/2025 17:55,Spotify Subscription,-9.99,Entertainment
9/4/2025 22:16,Udemy Python Course,-12.99,Education
10/4/2025 05:23,Book Purchase,-13.5,Education
11/4/2025 05:32,Coffee (M),-4.5,Drinks
12/4/2025 19:18,Spotify Subscription,-9.99,Entertainment
13/4/2025 07:41,Client Invoice,200.0,Income
14/4/2025 03:08,Bus Card Top-Up,-20.0,Transport
15/4/2025 05:47,Spotify Subscription,-9.99,Entertainment
16/4/2025 06:18,Bus Card Top-Up,-20.0,Transport
17/4/2025 15:32,Udemy Python Course,-12.99,Education
18/4/2025 03:14,Bus Card Top-Up,-20.0,Transport
19/4/2025 19:24,Boba Tea (L),-6.5,Drinks
20/4/2025 23:01,Spotify Subscription,-9.99,Entertainment
21/4/2025 09:56,Bus Card Top-Up,-20.0,Transport
22/4/2025 09:25,Boba Tea (L),-6.5,Drinks
23/4/2025 17:49,Boba Tea (L),-6.5,Drinks
24/4/2025 13:45,Taxi Ride,-18.0,Transport
25/4/2025 05:42,Bus Card Top-Up,-20.0,Transport
26/4/2025 11:43,Freelance Payout,150.0,Income
27/4/2025 04:21,Boba Tea (L),-6.5,Drinks
28/4/2025 01:30,Bus Card Top-Up,-20.0,Transport
29/4/2025 00:13,Grocery Store,-45.2,Food
30/4/2025 22:16,Client Invoice,200.0,Income
1/5/2025 12:31,Udemy Python Course,-12.99,Education
2/5/2025 11:20,Coffee (M),-4.5,Drinks
3/5/2025 18:37,Freelance Payout,150.0,Income
4/5/2025 17:37,Book Purchase,-13.5,Education
5/5/2025 10:17,Taxi Ride,-18.0,Transport
6/5/2025 03:06,Coffee (M),-4.5,Drinks
7/5/2025 05:01,Taxi Ride,-18.0,Transport
8/5/2025 16:17,Spotify Subscription,-9.99,Entertainment
9/5/2025 18:58,Taxi Ride,-18.0,Transport
10/5/2025 13:51,Bus Card Top-Up,-20.0,Transport
11/5/2025 17:39,Udemy Python Course,-12.99,Education
12/5/2025 17:04,Grocery Store,-45.2,Food
13/5/2025 22:23,Coffee (M),-4.5,Drinks
14/5/2025 03:48,Spotify Subscription,-9.99,Entertainment
15/5/2025 13:19,Book Purchase,-13.5,Education
16/5/2025 11:34,Bus Card Top-Up,-20.0,Transport
17/5/2025 07:58,Book Purchase,-13.5,Education
18/5/2025 06:24,Bus Card Top-Up,-20.0,Transport
19/5/2025 16:23,Udemy Python Course,-12.99,Education
20/5/2025 21:03,Boba Tea (L),-6.5,Drinks
21/5/2025 09:32,Grocery Store,-45.2,Food
22/5/2025 02:30,Taxi Ride,-18.0,Transport
23/5/2025 17:05,Boba Tea (L),-6.5,Drinks
24/5/2025 09:44,Bus Card Top-Up,-20.0,Transport
25/5/2025 17:15,Spotify Subscription,-9.99,Entertainment
26/5/2025 14:51,Coffee (M),-4.5,Drinks
27/5/2025 11:07,Client Invoice,200.0,Income
28/5/2025 15:11,Freelance Payout,150.0,Income
29/5/2025 11:09,Boba Tea (L),-6.5,Drinks
30/5/2025 03:31,Taxi Ride,-18.0,Transport
31/5/2025 02:12,Book Purchase,-13.5,Education
1/6/2025 08:44,Coffee (M),-4.5,Drinks
2/6/2025 18:36,Udemy Python Course,-12.99,Education
3/6/2025 19:24,Taxi Ride,-18.0,Transport
4/6/2025 11:49,Freelance Payout,150.0,Income
5/6/2025 21:18,Freelance Payout,150.0,Income
6/6/2025 12:15,Client Invoice,200.0,Income
7/6/2025 01:22,Boba Tea (L),-6.5,Drinks
8/6/2025 23:04,Book Purchase,-13.5,Education
9/6/2025 11:53,Spotify Subscription,-9.99,Entertainment
10/6/2025 02:37,Client Invoice,200.0,Income
11/6/2025 21:41,Coffee (M),-4.5,Drinks
12/6/2025 05:53,Udemy Python Course,-12.99,Education
13/6/2025 14:17,Coffee (M),-4.5,Drinks
14/6/2025 18:49,Boba Tea (L),-6.5,Drinks
15/6/2025 10:38,Udemy Python Course,-12.99,Education
16/6/2025 11:25,Client Invoice,200.0,Income
17/6/2025 01:49,Bus Card Top-Up,-20.0,Transport
18/6/2025 19:12,Boba Tea (L),-6.5,Drinks
19/6/2025 10:49,Udemy Python Course,-12.99,Education
20/6/2025 17:52,Taxi Ride,-18.0,Transport
21/6/2025 21:11,Coffee (M),-4.5,Drinks
22/6/2025 14:25,Boba Tea (L),-6.5,Drinks
23/6/2025 13:25,Book Purchase,-13.5,Education
24/6/2025 09:53,Coffee (M),-4.5,Drinks
25/6/2025 09:33,Grocery Store,-45.2,Food
26/6/2025 11:48,Freelance Payout,150.0,Income
27/6/2025 07:15,Udemy Python Course,-12.99,Education
28/6/2025 19:44,Grocery Store,-45.2,Food
29/6/2025 11:51,Coffee (M),-4.5,Drinks
30/6/2025 16:47,Freelance Payout,150.0,Income
1/7/2025 10:26,Client Invoice,200.0,Income
2/7/2025 13:12,Grocery Store,-45.2,Food
3/7/2025 18:29,Coffee (M),-4.5,Drinks
4/7/2025 10:37,Taxi Ride,-18.0,Transport
5/7/2025 04:36,Book Purchase,-13.5,Education
